"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","100nF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C2","1","470µF","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"D1","1","1N4001","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"J1,J2","2","Conn_01x07_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~"
"J3,J4,J5,J6","4","Conn_01x04_Pin","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"J7,J8,J10","3","Conn_01x02_Pin","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"J9","1","Conn_01x03_Pin","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"Q1","1","Q_NMOS_GDS","","","","Package_TO_SOT_THT:TO-220-3_Vertical","~"
"R1,R2","2","220k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R3","1","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R4","1","22R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R5,R6,R7,R8,R9,R10,R11,R12","8","4k7","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"SW1","1","SW_SPST","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"U1","1","XIAO-ESP32-C6","","","","XIAO ESP32 Family:XIAO-ESP32C6-DIP",""
