"#","Reference","Qty","Value","Footprint","DNP"
"1","C2","1","220µF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"2","C3","1","22µF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"3","D1","1","1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"4","D2","1","1N5817","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"5","J1, J2","2","Conn_01x09_Pin","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical",""
"6","J3, J6","2","I2C","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
"7","J4","1","USB-C Power","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"8","J5","1","I2C D2-powered","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
"9","J7","1","Battery","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"10","J9","1","Moisture Sensor","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"11","J10","1","Pump","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"12","J11","1","I2C D3-powered","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
"13","Q1","1","IRLZ14","Package_TO_SOT_THT:TO-220-3_Vertical",""
"14","R1, R2","2","220k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"15","R3","1","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"16","R4","1","22R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"17","R5, R6","2","4k7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"18","SW1","1","Power Switch","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"19","U1","1","Waveshare ESP32-C6-Nano","ws-esp32c6:Waveshare-ESP32-C6-Zero",""
