Category,Item,Reference,Qty,Value/Spec,Notes
PCB Component,Resistor,"R1, R2",2,220 kΩ,Battery voltage divider
PCB Component,Resistor,R3,1,10 kΩ,MOSFET gate pull-down
PCB Component,Resistor,R4,1,22 Ω,MOSFET gate protection
PCB Component,Resistor,"R5, R6",2,4.7 kΩ,I2C pull-up
PCB Component,Diode,D1,1,1N4001,Flyback diode — stripe (cathode) faces pump +
PCB Component,Diode,D2,1,1N5817,Schottky diode — stripe (cathode) per silkscreen
PCB Component,Capacitor,C2,1,220 µF,Electrolytic — long leg to + hole
PCB Component,Capacitor,C3,1,22 µF,Electrolytic — long leg to + hole
PCB Component,MOSFET,Q1,1,IRLZ14,Flat side matches silkscreen outline
PCB Component,I2C JST connector,"J3, J5, J6, J11",4,4-pin JST XH,
PCB Component,Moisture sensor connector,J9,1,3-pin JST XH,
PCB Component,Battery / switch connector,"J7, SW1",2,2-pin JST XH,
PCB Component,Pump connector,J10,1,2-pin JST XH,
PCB Component,USB-C power connector,J4,1,2-pin JST PH,Smaller pitch (2.0 mm) than the XH connectors
PCB Component,Microcontroller socket,"J1, J2",2,9-pin pin socket,Solder to PCB; insert the Waveshare board after
Electronics,Microcontroller,,1,Waveshare ESP32-C6 Zero,
Electronics,Smart Plants Breakout PCB,,1,ws-board rev2,Populated with the PCB components above
Electronics,Capacitive soil moisture sensor,,1,,+ 3-core cable
Electronics,BME280 sensor module,,1,Temperature/humidity/pressure,+ pre-crimped 4-core cable
Electronics,TSL2591 sensor module,,1,Light,+ pre-crimped 4-core cable
Electronics,Mini diaphragm pump,,1,,+ 2-core cable
Electronics,Battery pack,,1,3× AA,
Electronics,USB-C connector,,1,,With cable
Electronics,On/Off switch,,1,,
Mechanical,3D-printed battery housing and PCB mount,,1,,
Mechanical,3D-printed moisture sensor housing + lid,,1,,
Mechanical,3D-printed pump housing,,1,,
Mechanical,3D-printed BME280 housing,,1,Stevenson Screen,
Mechanical,3D-printed TSL2591 housing,,1,,+ half ping pong ball as diffusor
Mechanical,3D-printed cable plugs,,2,,
Mechanical,Laser-cut enclosure,,1,,
Mechanical,Wood screws,,12,,
Mechanical,Velcro tape,,1,,
Mechanical,PG7 cable gland,,1,,For pump cable
Mechanical,Tubes,,2,,Pump inlet/outlet
Tool,Soldering iron + solder,,1,,
Tool,Crimping tool,,1,,For JST connectors
Tool,Wire cutters / flush cutters,,1,,
Tool,Wire strippers,,1,,
Tool,Screwdriver,,1,,
Tool,Hot-glue gun,,1,,Or other glue
Tool,Drill with 8 mm bit,,1,,Only needed if the housing cable hole is not pre-cut
